georeference,ada_notes,cbd,south_direction_label,north_direction_label,gtfs_longitude,gtfs_latitude,structure,daytime_routes,borough,stop_name,line,division,gtfs_stop_id,complex_id,station_id,ada_southbound,ada_northbound,ada
POINT (-73.975939 40.576127),,false,Coney Island,Manhattan,-73.975939,40.576127,Elevated,F Q,Bk,W 8 St-NY Aquarium,Broadway - Brighton,BMT,D42,57,57,0,0,0
POINT (-73.98795 40.749567),,true,Downtown,Uptown,-73.98795,40.749567,Subway,N Q R W,M,34 St-Herald Sq,Broadway - Brighton,BMT,R17,607,12,1,1,1
POINT (-73.940858 40.679921),,false,Outbound,Manhattan,-73.940858,40.679921,Subway,C,Bk,Kingston-Throop Avs,8th Av - Fulton St,IND,A47,180,180,0,0,0
POINT (-73.975776 40.650782),,false,Southbound,Northbound,-73.975776,40.650782,Subway,F G,Bk,Fort Hamilton Pkwy,6th Av - Culver,IND,F26,242,242,0,0,0
POINT (-73.948411 40.639967),,false,Flatbush,Manhattan,-73.948411,40.639967,Subway,2 5,Bk,Newkirk Av-Little Haiti,Nostrand,IRT,246,358,358,0,0,0
POINT (-74.000495 40.732338),,true,Downtown,Uptown,-74.000495,40.732338,Subway,B D F M,M,W 4 St-Wash Sq,6th Av - Culver,IND,D20,167,167,1,1,1
POINT (-73.996353 40.624842),,false,Coney Island,Manhattan,-73.996353,40.624842,Open Cut,N,Bk,New Utrecht Av,Sea Beach,BMT,N04,615,73,1,1,1
POINT (-73.867139 40.691324),,false,Manhattan,Jamaica,-73.867139,40.691324,Elevated,J Z,Q,75 St-Elderts Ln,Jamaica,BMT,J17,85,85,0,0,0
POINT (-73.862633 40.883895),,false,Manhattan,Northbound,-73.862633,40.883895,Elevated,2 5,Bx,219 St,Lenox - White Plains Rd,IRT,207,420,420,0,0,0
POINT (-73.936245 40.820421),,false,Downtown,Harlem,-73.936245,40.820421,Subway,3,M,145 St,Lenox - White Plains Rd,IRT,302,437,437,0,0,0
POINT (-73.948916 40.742216),,false,Manhattan,Outbound,-73.948916,40.742216,Subway,7,Q,Hunters Point Av,Flushing,IRT,720,463,463,0,0,0
POINT (-74.103338 40.583591),,false,South Shore,Ferry,-74.103338,40.583591,Embankment,SIR,SI,Jefferson Av,Staten Island,SIR,S24,508,508,0,0,0
POINT (-73.761353 40.600066),,false,Far Rockaway,Manhattan,-73.761353,40.600066,Viaduct,A,Q,Beach 25 St,Rockaway,IND,H10,208,208,0,0,0
POINT (-73.975098 40.680829),,false,Outbound,Manhattan,-73.975098,40.680829,Subway,2 3,Bk,Bergen St,Eastern Pky,IRT,236,339,339,0,0,0
POINT (-73.930729 40.679364),,false,Outbound,Manhattan,-73.930729,40.679364,Subway,A C,Bk,Utica Av,8th Av - Fulton St,IND,A48,181,181,1,1,1
POINT (-73.93647 40.82388),,false,Downtown,Last Stop,-73.93647,40.82388,Subway,3,M,Harlem-148 St,Lenox - White Plains Rd,IRT,301,436,436,0,0,0
POINT (-73.932942 40.668897),,false,Outbound,Manhattan,-73.932942,40.668897,Subway,3 4,Bk,Crown Hts-Utica Av,Eastern Pky,IRT,250,345,345,1,1,1
POINT (-73.845625 40.754622),,false,Manhattan,Outbound,-73.845625,40.754622,Elevated,7,Q,Mets-Willets Point,Flushing,IRT,702,448,448,0,0,0
POINT (-73.989735 40.757308),,true,Downtown,Uptown,-73.989735,40.757308,Subway,A C E,M,42 St-Port Authority Bus Terminal,8th Av - Fulton St,IND,A27,611,163,1,1,1
POINT (-73.981628 40.730953),,true,Brooklyn,West Side,-73.981628,40.730953,Subway,L,M,1 Av,Canarsie,BMT,L06,119,119,1,1,1
POINT (-73.904084 40.695602),,false,Outbound,Manhattan,-73.904084,40.695602,Subway,L,Q,Halsey St,Canarsie,BMT,L19,129,129,0,0,0
POINT (-73.954449 40.731352),,false,Southbound,Queens,-73.954449,40.731352,Subway,G,Bk,Greenpoint Av,Crosstown,IND,G26,283,283,1,1,1
POINT (-73.905249 40.682829),,false,Outbound,Manhattan,-73.905249,40.682829,Subway,L,Bk,Bushwick Av-Aberdeen St,Canarsie,BMT,L21,131,131,0,0,0
POINT (-73.976041 40.751431),,true,Hudson Yards,Queens,-73.976041,40.751431,Subway,7,M,Grand Central-42 St,Flushing,IRT,723,610,465,1,1,1
